,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_2_AutoML_20190426_205706,0.19652263464642966,0.443308735134364,0.19652263464642966,0.1970404925737754,0.07980280425268359
1,StackedEnsemble_BestOfFamily_AutoML_20190426_204013,0.1968676567026214,0.4436977086966096,0.1968676567026214,0.19585652660094785,0.08196667194634821
2,XGBoost_2_AutoML_20190426_204013,0.19729325689037666,0.44417705579011696,0.19729325689037666,0.19778798827359698,0.07985991832667916
3,StackedEnsemble_BestOfFamily_AutoML_20190426_201954,0.1981581312633934,0.44514956055621735,0.1981581312633934,0.1944402685069767,0.08006369020438676
4,XGBoost_2_AutoML_20190426_201954,0.19830669306122325,0.4453163965780097,0.19830669306122325,0.196673389257063,0.07995463913647298
5,XGBoost_2_AutoML_20190426_202822,0.1990421466818643,0.44614139763293015,0.1990421466818643,0.19813234523027268,0.0802248462281799
6,XGBoost_1_AutoML_20190426_205706,0.20175034823851096,0.4491662812795624,0.20175034823851096,0.19908340390387105,0.07989199775259789
7,XGBoost_1_AutoML_20190426_201954,0.2017871641211605,0.4492072618749173,0.2017871641211605,0.20268911075300486,0.08005477674645875
8,XGBoost_1_AutoML_20190426_201419,0.2025983143258484,0.4501092248841923,0.2025983143258484,0.19972798223528102,0.08021865070840352
9,XGBoost_1_AutoML_20190426_204013,0.203699386899481,0.4513306846420715,0.203699386899481,0.2023015016842007,0.08104946979650925
10,XGBoost_1_AutoML_20190426_202822,0.204457848430159,0.4521701542894654,0.204457848430159,0.20055945251583315,0.08084270641768115
11,XGBoost_3_AutoML_20190426_205706,0.22737451700920144,0.4768380406481864,0.22737451700920144,0.22990478582024426,0.08635619962317895
12,XGBoost_3_AutoML_20190426_202822,0.2277429844553539,0.4772242496514127,0.2277429844553539,0.2307063023556789,0.08695149321502202
13,XGBoost_3_AutoML_20190426_204013,0.22910007394125126,0.4786439949913205,0.22910007394125126,0.2315706327625512,0.08612952086902585
14,XGBoost_3_AutoML_20190426_201954,0.23220740047815555,0.4818790309591771,0.23220740047815555,0.2415340856959251,0.08675537465821824
15,GBM_1_AutoML_20190426_205706,0.25392392969665284,0.5039086521351394,0.25392392969665284,0.24979635054948665,0.09787706836435338
16,DRF_1_AutoML_20190426_204013,0.2559888331223312,0.5059533902666641,0.2559888331223312,0.2325557031803101,0.10248403175172617
17,GBM_3_AutoML_20190426_205706,0.2588786290437151,0.5088011684771521,0.2588786290437151,0.2434763605119458,0.1044231598761672
18,DRF_1_AutoML_20190426_205706,0.2593060305469221,0.5092210036388151,0.2593060305469221,0.2349931294096165,0.10263601566489212
19,GBM_4_AutoML_20190426_205706,0.2612445245961611,0.5111208512633397,0.2612445245961611,0.21947455531129115,0.10255265143532814
20,GBM_1_AutoML_20190426_204013,0.2631162225994538,0.5129485574591801,0.2631162225994538,0.2505802626863306,0.10308079535098193
21,GBM_2_AutoML_20190426_204013,0.26359629974890725,0.5134163025741462,0.26359629974890725,0.2465748968204499,0.10242051904456503
22,GBM_2_AutoML_20190426_205706,0.2663812587186901,0.5161213604557461,0.2663812587186901,0.2514266996454102,0.10536096681065868
23,GBM_5_AutoML_20190426_205706,0.2678181573064955,0.5175115045160789,0.2678181573064955,0.2620073328954569,0.10990558320287427
24,GLM_grid_1_AutoML_20190426_205706_model_1,0.4675523810286144,0.6837780202877352,0.4675523810286144,0.4326800532904789,0.17701735973124802
25,GLM_grid_1_AutoML_20190426_204013_model_1,0.6370190920669851,0.7981347580872449,0.6370190920669851,0.5022213176059402,0.23203415238179576
26,GLM_grid_1_AutoML_20190426_202822_model_1,1.5667841864432066,1.2517125015127104,1.5667841864432066,0.8110697740182764,0.3265849632777279
27,GLM_grid_1_AutoML_20190426_201954_model_1,2.0850822901204658,1.4439814022765205,2.0850822901204658,1.0046623890407635,0.345537465246845
