name,nfolds,seed,solver,kc_val_mo,kc_val_pr,fold_assignment,ntrees,max_runtime_secs,stopping_rounds,stopping_metric,stopping_tolerance,max_depth,learn_rate,min_rows,sample_rate,col_sam_rate,col_sam_r_per_tree,score_tree_interval
XGBoost_grid_1_AutoML_20190418_140346_model_1,5,5921752911699283553,,False,True,Modulo,152,0.0,0,deviance,0.008312003470029437,10,0.05,10.0,0.8,0.6,0.9,5
XGBoost_grid_1_AutoML_20190418_140346_model_1,5,5921752911699283553,,False,True,Modulo,152,0.0,0,deviance,0.008312003470029437,10,0.05,10.0,0.8,0.6,0.9,5
XGBoost_grid_1_AutoML_20190418_140346_model_1,5,5921752911699283553,,False,True,Modulo,152,0.0,0,deviance,0.008312003470029437,10,0.05,10.0,0.8,0.6,0.9,5
XGBoost_grid_1_AutoML_20190418_140346_model_2,5,-4205200484329950758,,False,True,Modulo,13,0.0,0,deviance,0.008312003470029437,15,0.05,10.0,0.8,1.0,1.0,5
XGBoost_grid_1_AutoML_20190418_140346_model_2,5,-4205200484329950758,,False,True,Modulo,13,0.0,0,deviance,0.008312003470029437,15,0.05,10.0,0.8,1.0,1.0,5
XGBoost_grid_1_AutoML_20190418_140346_model_2,5,-4205200484329950758,,False,True,Modulo,13,0.0,0,deviance,0.008312003470029437,15,0.05,10.0,0.8,1.0,1.0,5
XGBoost_grid_1_AutoML_20190418_140346_model_2,5,-4205200484329950758,,False,True,Modulo,13,0.0,0,deviance,0.008312003470029437,15,0.05,10.0,0.8,1.0,1.0,5
XGBoost_grid_1_AutoML_20190418_142243_model_1,5,-4382045811931704893,,False,True,Modulo,203,0.0,0,deviance,0.008312003470029437,5,0.05,20.0,0.6,0.8,0.9,5
XGBoost_grid_1_AutoML_20190418_142243_model_1,5,-4382045811931704893,,False,True,Modulo,203,0.0,0,deviance,0.008312003470029437,5,0.05,20.0,0.6,0.8,0.9,5
XGBoost_grid_1_AutoML_20190418_142243_model_1,5,-4382045811931704893,,False,True,Modulo,203,0.0,0,deviance,0.008312003470029437,5,0.05,20.0,0.6,0.8,0.9,5
XGBoost_grid_1_AutoML_20190418_142243_model_2,5,1509521975585443969,,False,True,Modulo,110,0.0,0,deviance,0.008312003470029437,15,0.05,1.0,0.6,0.6,0.7,5
XGBoost_grid_1_AutoML_20190418_142243_model_2,5,1509521975585443969,,False,True,Modulo,110,0.0,0,deviance,0.008312003470029437,15,0.05,1.0,0.6,0.6,0.7,5
XGBoost_grid_1_AutoML_20190418_142243_model_2,5,1509521975585443969,,False,True,Modulo,110,0.0,0,deviance,0.008312003470029437,15,0.05,1.0,0.6,0.6,0.7,5
XGBoost_grid_1_AutoML_20190418_142243_model_3,5,-615616178447186075,,False,True,Modulo,20,0.0,0,deviance,0.008312003470029437,15,0.05,0.1,1.0,0.8,0.9,5
XGBoost_grid_1_AutoML_20190418_142243_model_3,5,-615616178447186075,,False,True,Modulo,20,0.0,0,deviance,0.008312003470029437,15,0.05,0.1,1.0,0.8,0.9,5
XGBoost_grid_1_AutoML_20190418_142243_model_3,5,-615616178447186075,,False,True,Modulo,20,0.0,0,deviance,0.008312003470029437,15,0.05,0.1,1.0,0.8,0.9,5
XGBoost_grid_1_AutoML_20190418_144229_model_1,5,3562216447301793354,,False,True,Modulo,145,0.0,0,deviance,0.008312003470029437,15,0.05,1.0,1.0,0.8,0.8,5
XGBoost_grid_1_AutoML_20190418_144229_model_1,5,3562216447301793354,,False,True,Modulo,145,0.0,0,deviance,0.008312003470029437,15,0.05,1.0,1.0,0.8,0.8,5
XGBoost_grid_1_AutoML_20190418_144229_model_2,5,-778885033466016176,,False,True,Modulo,276,0.0,0,deviance,0.008312003470029437,5,0.05,5.0,1.0,1.0,0.7,5
XGBoost_grid_1_AutoML_20190418_144229_model_2,5,-778885033466016176,,False,True,Modulo,276,0.0,0,deviance,0.008312003470029437,5,0.05,5.0,1.0,1.0,0.7,5
XGBoost_grid_1_AutoML_20190418_144229_model_3,5,-6510114651881574467,,False,True,Modulo,79,0.0,0,deviance,0.008312003470029437,5,0.05,3.0,0.6,1.0,0.7,5
XGBoost_grid_1_AutoML_20190418_144229_model_3,5,-6510114651881574467,,False,True,Modulo,79,0.0,0,deviance,0.008312003470029437,5,0.05,3.0,0.6,1.0,0.7,5
XGBoost_grid_1_AutoML_20190418_144229_model_4,5,-1965355138915063813,,False,True,Modulo,60,0.0,0,deviance,0.008312003470029437,5,0.05,0.01,0.8,0.6,0.9,5
XGBoost_grid_1_AutoML_20190418_144229_model_4,5,-1965355138915063813,,False,True,Modulo,60,0.0,0,deviance,0.008312003470029437,5,0.05,0.01,0.8,0.6,0.9,5
XGBoost_grid_1_AutoML_20190418_150256_model_1,5,-3996604403691030265,,False,True,Modulo,161,0.0,0,deviance,0.008312003470029437,5,0.05,1.0,1.0,0.6,0.9,5
XGBoost_grid_1_AutoML_20190418_150256_model_2,5,942563948402444023,,False,True,Modulo,172,0.0,0,deviance,0.008312003470029437,20,0.05,10.0,0.8,0.6,0.7,5
XGBoost_grid_1_AutoML_20190418_150256_model_3,5,-140049344239511595,,False,True,Modulo,98,0.0,0,deviance,0.008312003470029437,10,0.05,5.0,1.0,1.0,1.0,5
XGBoost_grid_1_AutoML_20190418_150256_model_4,5,-6567514564765201958,,False,True,Modulo,98,0.0,0,deviance,0.008312003470029437,15,0.05,20.0,0.8,0.6,0.8,5
XGBoost_grid_1_AutoML_20190418_150256_model_5,5,4399041295197002612,,False,True,Modulo,92,0.0,0,deviance,0.008312003470029437,20,0.05,10.0,0.6,0.6,0.7,5
